"REPD Ref","Status","Site Name","Technology","Capacity (MW)","Local Authority","LA Code"
6444,"Awaiting Construction","Glenshimmeroch Wind Farm","Wind Onshore",36,"Dumfries and Galloway","S12000006"
6459,"Application Submitted","Faw Side Community Wind Farm","Wind Onshore",315,"Dumfries and Galloway","S12000006"
6464,"Awaiting Construction","Airigh Wind Farm","Wind Onshore",58.8,"Argyll and Bute","S12000035"
6545,"Under Construction","Allt Garaidh Ghualaich Hydro Scheme Powerhouse","Small Hydro",1.1,"Highland","S12000017"
6573,"Application Submitted","Druim Leathann Windfarm","Wind Onshore",48.3,"Comhairle nan Eilean Siar","S12000013"
6585,"Awaiting Construction","Skelmonae Farm","Solar Photovoltaics",1,"Aberdeenshire","S12000034"
6590,"Under Construction","Twentyshilling Hill Wind Farm","Wind Onshore",37.8,"Dumfries and Galloway","S12000006"
6600,"Awaiting Construction","Stranoch 2","Wind Onshore",84,"Dumfries and Galloway","S12000006"
6607,"Awaiting Construction","North Kyle Energy Project","Wind Onshore",205.8,"East Ayrshire","S12000008"
6629,"Application Submitted","Sanquhar 2 Community Wind Farm","Wind Onshore",308,"Dumfries and Galloway","S12000006"
6634,"Application Submitted","Kirkan Wind Farm","Wind Onshore",81.6,"Highland","S12000017"
6643,"Awaiting Construction","Hammars Hill Wind Farm Extension","Wind Onshore",8.4,"Orkney Islands","S12000023"
6657,"Awaiting Construction","Allt Charnan","Small Hydro",1,"Highland","S12000017"
6665,"Application Submitted","Stornoway Wind Farm (second resubmission)","Wind Onshore",-180,"Comhairle nan Eilean Siar","S12000013"
6665,"Awaiting Construction","Stornoway Wind Farm (second resubmission)","Wind Onshore",196,"Comhairle nan Eilean Siar","S12000013"
6673,"Application Submitted","Sandwick East Community Wind Farm","Wind Onshore",49.9,"Comhairle nan Eilean Siar","S12000013"
6675,"Awaiting Construction","Glen Etive Estate Phase I (Allt na Chaorainn)","Small Hydro",1.4,"Highland","S12000017"
6676,"Awaiting Construction","Glen Etive Estate Phase II (Allt Mheuran)","Small Hydro",0.9,"Highland","S12000017"
6687,"Under Construction","Glen Kinglass","Small Hydro",-0.96,"Argyll and Bute","S12000035"
6703,"Awaiting Construction","Sandy Knowe Wind Farm","Wind Onshore",81.6,"Dumfries and Galloway","S12000006"
6708,"Awaiting Construction","Broken Cross (Former Surface Mine)","Wind Onshore",40,"South Lanarkshire","S12000029"
6724,"Awaiting Construction","Allt Easach Hydro","Small Hydro",2,"Argyll and Bute","S12000035"
6730,"Awaiting Construction","Blackwater Dam","Small Hydro",0.8,"Highland","S12000017"
6733,"Application Submitted","Cloiche Wind Farm","Wind Onshore",150,"Highland","S12000017"
6734,"Awaiting Construction","Tangy 4 Wind Farm","Wind Onshore",80,"Argyll and Bute","S12000035"
6736,"Under Construction","Bilbo Solar Farm","Solar Photovoltaics",36.6,"Aberdeenshire","S12000034"
6741,"Under Construction","Duror 2 Hydro Scheme","Small Hydro",0.4,"Highland","S12000017"
6751,"Application Submitted","Garvilland Farm","Wind Onshore",18,"Dumfries and Galloway","S12000006"
6753,"Awaiting Construction","Oldhall Industrial Estate","EfW Incineration",15,"North Ayrshire","S12000021"
6757,"Awaiting Construction","Luichart Power Station","Small Hydro",2.6,"Highland","S12000017"
6779,"Awaiting Construction","Lochaber Hydro Development (Scheme 2)","Small Hydro",1.1,"Highland","S12000017"
6781,"Awaiting Construction","Lochaber Hydro Development (Scheme 3)","Small Hydro",2,"Highland","S12000017"
6793,"Awaiting Construction","Ben Sca","Wind Onshore",29.4,"Highland","S12000017"
6796,"Application Submitted","Greenburn Wind Park","Wind Onshore",67.2,"East Ayrshire","S12000008"
6798,"Awaiting Construction","Arecleoch Wind Farm (extension)","Wind Onshore",73,"South Ayrshire","S12000028"
6807,"Awaiting Construction","Loch Doon Dam Compensation Set","Small Hydro",0.3,"East Ayrshire","S12000008"
6826,"Awaiting Construction","Douglas West Wind Farm (extension)","Wind Onshore",78,"South Lanarkshire","S12000029"
6827,"Awaiting Construction","Lethans Wind Farm","Wind Onshore",105.6,"East Ayrshire","S12000008"
6828,"Under Construction","Viking Wind Farm","Wind Onshore",443,"Shetland Islands","S12000027"
6833,"Application Submitted","Tormsdale -Wind Farm","Wind Onshore",50,"Highland","S12000017"
6838,"Awaiting Construction","Gaineamhach Hydro Scheme Powerhouse","Small Hydro",2,"Highland","S12000017"
7150,"Application Submitted","Knockcronal Wind Farm","Wind Onshore",59.4,"South Ayrshire","S12000028"
7204,"Awaiting Construction","Kennoxhead Wind Farm Extension (Phase 2)","Wind Onshore",38.4,"South Lanarkshire","S12000029"
7206,"Application Submitted","Clauchrie Windfarm","Wind Onshore",100,"South Ayrshire","S12000028"
7222,"Under Construction","Easter Bush","Solar Photovoltaics",3,"Midlothian","S12000019"
7232,"Awaiting Construction","Glaxosmithkline Shewalton Road","Solar Photovoltaics",19.9,"North Ayrshire","S12000021"
7259,"Awaiting Construction","Iron Mountain Building","Solar Photovoltaics",0.3,"West Lothian","S12000040"
7261,"Application Submitted","Hare Craig Windfarm","Wind Onshore",36,"East Ayrshire","S12000008"
7264,"Awaiting Construction","Meikleton of Ardonald","Wind Onshore",1,"Aberdeenshire","S12000034"
7266,"Awaiting Construction","North Hoo Fields","Wind Onshore",0.9,"Shetland Islands","S12000027"
7274,"Under Construction","Alness Academy","Solar Photovoltaics",0.5,"Highland","S12000017"
7282,"Awaiting Construction","Blackbarn Farm","Small Hydro",1,"North Ayrshire","S12000021"
7287,"Awaiting Construction","Perth Wastewater Treatment Works","Solar Photovoltaics",0.4,"Perth and Kinross","S12000048"
7304,"Awaiting Construction","Deuchries Windfarm (extension)","Wind Onshore",2,"Aberdeenshire","S12000034"
7305,"Awaiting Construction","Garvie Burn","Small Hydro",0.4,"Argyll and Bute","S12000035"
7313,"Under Construction","Craig Farm","Small Hydro",0.4,"Argyll and Bute","S12000035"
7318,"Under Construction","Allt Eilidh","Small Hydro",0.6,"Highland","S12000017"
7328,"Under Construction","Allt an t-Sidhein Hydro Scheme","Small Hydro",0.5,"Highland","S12000017"
7340,"Awaiting Construction","Kilgallioch Windfarm (Extension)","Wind Onshore",62,"Dumfries and Galloway","S12000006"
7345,"Awaiting Construction","High Constellation Wind Farm","Wind Onshore",48,"Argyll and Bute","S12000035"
7370,"Awaiting Construction","Southrigg 2","Wind Onshore",4.2,"North Lanarkshire","S12000050"
7376,"Awaiting Construction","Shewalton Road","Wind Onshore",3,"North Ayrshire","S12000021"
7394,"Awaiting Construction","Orkney’s Community Wind Farm Project - Qanterness","Wind Onshore",28.8,"Orkney Islands","S12000023"
7398,"Awaiting Construction","Fell Wind Farm","Wind Onshore",49,"Dumfries and Galloway","S12000006"
7454,"Application Submitted","Scoop Hill Wind Farm","Wind Onshore",525,"Dumfries and Galloway","S12000006"
7456,"Awaiting Construction","Hagshaw Hill (Repowering)","Wind Onshore",84,"South Lanarkshire","S12000029"
7459,"Application Submitted","Creag Dhubh","Wind Onshore",27,"Argyll and Bute","S12000035"
7463,"Awaiting Construction","Shetland Tidal Array (extension)","Tidal Barrage and Tidal Stream",1.4,"Shetland Islands","S12000027"
7472,"Application Submitted","Narachan Wind Farm","Wind Onshore",95.2,"Argyll and Bute","S12000035"
7473,"Awaiting Construction","Bhlaraidh Wind Farm Extension","Wind Onshore",84,"Highland","S12000017"
7474,"Application Submitted","Kintradwell Lodge - Wind Farm","Wind Onshore",63,"Highland","S12000017"
7512,"Awaiting Construction","Glenfiddich Distillery AD (Extension)","Anaerobic Digestion",2,"Moray","S12000020"
7526,"Awaiting Construction","Iron Mountain Howe Moss Drive","Solar Photovoltaics",0.3,"Aberdeen City","S12000033"
7531,"Awaiting Construction","Eden Campus","Solar Photovoltaics",1,"Fife","S12000047"
7568,"Application Submitted","Billia Croo Wave Test Site (Extension)","Shoreline Wave",20,"Orkney Islands","S12000023"
7582,"Application Submitted","Cloich Forest Wind Farm","Wind Onshore",63,"Scottish Borders","S12000026"
7587,"Awaiting Construction","Heathland Wind Farm","Wind Onshore",80,"South Lanarkshire","S12000029"
7595,"Awaiting Construction","St Fergus Renewable Energy Park","Wind Onshore",3,"Aberdeenshire","S12000034"
7596,"Awaiting Construction","St Fergus Renewable Energy Park","Solar Photovoltaics",5,"Aberdeenshire","S12000034"
7601,"Awaiting Construction","Tesco Extra Dumfries","Solar Photovoltaics",0.8,"Dumfries and Galloway","S12000006"
7608,"Awaiting Construction","Tesco Superstore Annan","Solar Photovoltaics",0.2,"Dumfries and Galloway","S12000006"
7638,"Awaiting Construction","Lochhead Steading Concrete Block Manufacturing Plant","Solar Photovoltaics",0.6,"Angus","S12000041"
7674,"Awaiting Construction","East Ballochy","Solar Photovoltaics",39.9,"Angus","S12000041"
7679,"Application Submitted","Draffanmarshill Farm","Wind Onshore",4.2,"South Lanarkshire","S12000029"
7687,"Application Submitted","Moorshield Wind Farm","Wind Onshore",15,"East Renfrewshire","S12000011"
7708,"Awaiting Construction","Limekiln Wind Farm (Extension)","Wind Onshore",21,"Highland","S12000017"
7710,"Application Submitted","Cairn Duhie Wind Farm","Wind Onshore",67.2,"Highland","S12000017"
7711,"Application Submitted","Chleansaid Onshore Wind Farm","Wind Onshore",96,"Highland","S12000017"
7729,"Awaiting Construction","Inverness Royal Academy","Solar Photovoltaics",0.3,"Highland","S12000017"
7745,"Awaiting Construction","Howden Farm","Solar Photovoltaics",0.2,"East Lothian","S12000010"
7758,"Awaiting Construction","Hutchesons Grammar School","Solar Photovoltaics",0.2,"Glasgow City","S12000049"
7762,"Awaiting Construction","Netherton","Wind Onshore",0.9,"Aberdeenshire","S12000034"
7763,"Awaiting Construction","Claylands Road","Solar Photovoltaics",0.2,"City of Edinburgh","S12000036"
7785,"Awaiting Construction","Patrickston Farm","Solar Photovoltaics",15,"Stirling","S12000030"
7806,"Awaiting Construction","Banbeath Industrial Estate","Solar Photovoltaics",0.2,"Fife","S12000047"
7807,"Awaiting Construction","Binn Farm","EfW Incineration",7.3,"Perth and Kinross","S12000048"
7851,"Awaiting Construction","Kilgallioch Windfarm (Extension - Solar)","Solar Photovoltaics",20,"Dumfries and Galloway","S12000006"
7873,"Application Submitted","Earraghail Renewable Energy Development","Wind Onshore",78,"Argyll and Bute","S12000035"
7874,"Application Submitted","Carrick Windfarm","Wind Onshore",86,"South Ayrshire","S12000028"
7877,"Application Submitted","Craiginmoddie Wind Farm","Wind Onshore",92,"South Ayrshire","S12000028"
7886,"Awaiting Construction","Shelloch Wind Farm","Wind Onshore",24,"Stirling","S12000030"
7891,"Application Submitted","Mochrum Fell Wind Farm","Wind Onshore",24,"Dumfries and Galloway","S12000006"
7943,"Awaiting Construction","City of Edinburgh Council Buildings","Solar Photovoltaics",0.2,"City of Edinburgh","S12000036"
7953,"Under Construction","Isle of Luing Wind Farm","Wind Onshore",0.2,"Argyll and Bute","S12000035"
7957,"Awaiting Construction","Hammars Hill Wind Farm Extension","Hydrogen",NA,"Orkney Islands","S12000023"
7991,"Awaiting Construction","Brownhill Farm","Wind Onshore",8.4,"North Lanarkshire","S12000050"
8000,"Application Submitted","Clachaig Glen","Wind Onshore",60,"Argyll and Bute","S12000035"
8001,"Application Submitted","Kennoxhead Wind Farm Extension II (Penbreck) (Phase 2)","Wind Onshore",45.6,"South Lanarkshire","S12000029"
8003,"Application Submitted","Grayside Wind Farm","Wind Onshore",147,"South Lanarkshire","S12000029"
8061,"Application Submitted","Hollandmey Renewable Energy Development","Wind Onshore",50,"Highland","S12000017"
8086,"Application Submitted","Thainstone Energy Park Project ERF","EfW Incineration",35,"Aberdeenshire","S12000034"
8134,"Under Construction","Land near Tacher, Latheron","Wind Onshore",4.1,"Highland","S12000017"
8138,"Application Submitted","Skelmonae Wind Farm Extension","Wind Onshore",1.6,"Aberdeenshire","S12000034"
8196,"Application Submitted","Forss Wind Farm","Wind Onshore",4.5,"Highland","S12000017"
8263,"Awaiting Construction","Plascow Wind Turbine","Wind Onshore",NA,"Dumfries and Galloway","S12000006"
8305,"Application Submitted","Lochluichart Wind Farm Extension 2","Wind Onshore",24,"Highland","S12000017"
8344,"Application Submitted","Woolfords Farm - Onshore Wind Turbines","Wind Onshore",19.8,"South Lanarkshire","S12000029"
8353,"Application Submitted","Barr Killoch Energy Recovery Park","EfW Incineration",12,"East Ayrshire","S12000008"
8397,"Awaiting Construction","Orkney’s Community Wind Farm Project - Hoy","Wind Onshore",28.8,"Orkney Islands","S12000023"
8400,"Awaiting Construction","Barlockhart Moor Wind Turbines","Wind Onshore",8.4,"Dumfries and Galloway","S12000006"
8417,"Application Submitted","Moorfield North Industrial Park, Moorfield","Solar Photovoltaics",NA,"East Ayrshire","S12000008"
8418,"Application Submitted","Corriegarth 2","Wind Onshore",76,"Highland","S12000017"
8433,"Awaiting Construction","Duke Street Solar Panels","Solar Photovoltaics",NA,"Glasgow City","S12000049"
8442,"Application Submitted","Cornharrow - Wind Farm & Battery Storage","Wind Onshore",50,"Dumfries and Galloway","S12000006"
8488,"Application Submitted","Jockstown Farm Solar Farm","Solar Photovoltaics",37.9,"Dumfries and Galloway","S12000006"
8489,"Application Submitted","Lethen Wind Farm  Wind Turbines and Energy Storage","Wind Onshore",102,"Highland","S12000017"
8492,"Application Submitted","Lethans Wind Farm Extension","Wind Onshore",66,"East Ayrshire","S12000008"
8537,"Awaiting Construction","Ben Sca 2 Wind Turbines","Wind Onshore",8.4,"Highland","S12000017"
8795,"Awaiting Construction","Caledon Green - Gas Powered Electricity Generation Facility","Landfill Gas",22.5,"Falkirk","S12000014"
8807,"Application Submitted","Glenhead Of Aldouran - Solar Array & Water Source Heat Pump System","Solar Photovoltaics",0.215,"Dumfries and Galloway","S12000006"
8820,"Awaiting Construction","Little Broomfield - Biomass boiler","Biomass (dedicated)",0.21,"Aberdeen City","S12000033"
8822,"Application Submitted","Polquhairn Wind Farm","Wind Onshore",34.2,"East Ayrshire","S12000008"
8842,"Awaiting Construction","Cullierlie Solar Farm","Solar Photovoltaics",13,"Aberdeen City","S12000033"
8847,"Awaiting Construction","Pearie Law - Wind turbines","Wind Onshore",14.4,"West Lothian","S12000040"
8849,"Application Submitted","Upper Bighouse Biomass Boilers","Biomass (dedicated)",260,"Highland","S12000017"
8884,"Awaiting Construction","Lairg 2 Wind Farm","Wind Onshore",34.5,"Highland","S12000017"
8909,"Awaiting Construction","Camilty Plantation - Wind Farm","Wind Onshore",25.8,"West Lothian","S12000040"
8921,"Application Submitted","Teviot Wind Farm","Wind Onshore",409,"Scottish Borders","S12000026"
8981,"Awaiting Construction","Dalmarnock Wastewater Treatment Works - Solar Panels","Solar Photovoltaics",NA,"Glasgow City","S12000049"
